ID,Reference,refyear,OriginalTitle,FrenchTitle,EnglishTitle,CommitteDecisionDate,kind,Genre,support,SecretariatDecision,firstfilm,secondfilm,budget,reason,Director,key,AnnouncedAmount,CoproducerId,country1,countryname1_english,percentage_participation,contributor_rank,majmin,lumieres_id,lumieres_title,lumieres_matching_title,lumieres_directors,lumieres_prod_year,lumieres_relevance,lumieres_admissions,imdb_id,imdb_ratings,imdb_nbvotes
6445,11-055-C,2011,Peace Old Jazz Band,,,2011-06-10,Documentary,,Rejected,Eligible,0,0,588000.0,,['Uli Gaulke'],6445,"[469000.0, 119000.0]","[129, 26561]","['DE ', 'NL ']","['Germany', 'Netherlands']","[0.79762, 0.20238]","[1, 2]","['Majority', 'Minority']",87471,Sunset Over Mulholland Drive,Sunset Over Mulholland Drive,"Uli Gaulke, Agnes Lisa Wegner",2019,1.0,2279,tt9617590,7.4,67
6446,11-056-F,2011,Inclinations (Am Hang),,,2011-06-10,Fiction,,Rejected,Eligible,0,0,2943075.0,,['Markus Imboden'],6446,"[2282075.0, 661000.0]","[217, 26564]","['CH ', 'DE ']","['Switzerland', 'Germany']","[0.7754, 0.2246]","[1, 2]","['Majority', 'Minority']",45207,Am Hang,Am Hang,Markus Imboden,2013,1.0,52200,tt2922690,5.7,137
6448,11-058-F,2011,Rat King,Roi de Rat,,2011-06-10,Fiction,,Supported,Eligible,0,0,1690456.0,,['Petri Kotwica'],6448,"[1353213.0, 340421.0]","[16179, 26563]","['FI ', 'EE ']","['Finland', 'Estonia']","[0.8005, 0.20138]","[2, 4]","['Minority', 'Minority']",41506,Rat King,Rat King,Petri Kotwica,2012,1.0,8785,tt2082410,5.2,601
6449,11-059-F,2011,Clara and the Secret of the Bears/Fluch der Barin,Clara et le Secret des Ours,Clara and the Secret of the Bears,2011-06-10,Fiction,,Rejected,Eligible,0,0,3186685.0,,['Tobias Ineichen'],6449,"[991450.0, 2195235.0]","[12431, 24762]","['DE ', 'CH ']","['Germany', 'Switzerland']","[0.31112, 0.68888]","[2, 1]","['Minority', 'Majority']",44729,Clara und das Geheimnis der Bären,Clara and the Secret of the Bears,Tobias Ineichen,2012,0.95,41943,tt1951099,5.9,203
6453,11-060-F,2011,Mobil Home,,Mobile Home,2011-06-10,Fiction,,Rejected,Eligible,1,0,2654488.0,,['François Pirot'],6453,"[1074540.0, 756870.0, 823078.0]","[325, 13939, 26109]","['BE ', 'LU ', 'FR ']","['Belgium', 'Luxembourg', 'France']","[0.4048, 0.28513, 0.31007]","[1, 3, 2]","['Majority', 'Minority', 'Minority']",39310,Mobile Home,Mobil Home,François Pirot,2012,1.0,31710,tt2112204,6.4,425
6454,11-061-F,2011,Goodbye Morocco,,,2011-06-10,Fiction,,Rejected,Eligible,0,0,2707620.0,,['Nadir Moknèche'],6454,"[541524.0, 2166096.0]","[12519, 25765]","['BE ', 'FR ']","['Belgium', 'France']","[0.2, 0.8]","[2, 1]","['Minority', 'Majority']",39153,Goodbye Morocco,Goodbye Morocco,Nadir Moknèche,2012,1.0,28933,tt2607702,6.0,223
6455,11-062-F,2011,Csak a szél,,Just the Wind,2011-06-10,Fiction,,Supported,Eligible,0,0,474622.0,,['Benedek Fliegauf'],6455,"[314137.0, 194607.0, 173775.0]","[26589, 26590, 28439]","['HU ', 'DE ', 'FR ']","['Hungary', 'Germany', 'France']","[0.66187, 0.41003, 0.36613]","[2, 3, 4]","['Minority', 'Minority', 'Minority']",41062,Csak A Szél,Just the Wind,Benedek Fliegauf,2012,1.0,45141,tt2180335,6.5,1380
6456,11-063-F,2011,Die Lebenden und die Toten,,The Dead  and the Living,2011-06-10,Fiction,,Rejected,Eligible,0,0,3094000.0,,['Barbara Albert'],6456,"[2054000.0, 618000.0, 422000.0]","[69, 23467, 26571]","['AT ', 'DE ', 'PL ']","['Austria', 'Germany', 'Poland']","[0.66387, 0.19974, 0.13639]","[1, 2, 3]","['Majority', 'Minority', 'Minority']",41559,Die Lebenden,The Dead and the Living,Barbara Albert,2012,0.95,8382,tt2343536,5.7,157
6457,11-064-F,2011,All that matters is past,,,2011-06-10,Fiction,,Supported,Eligible,0,0,3413167.0,,['Sara Johnsen'],6457,"[726256.0, 2914753.0]","[16553, 21989]","['SE ', 'NO ']","['Sweden', 'Norway']","[0.21278, 0.85397]","[5, 1]","['Minority', 'Majority']",40811,Uskyld,All That Matters Is Past,Sara Johnsen,2012,1.0,19030,tt2188723,5.8,839
6458,11-065-F,2011,Operacion E,,,2011-06-10,Fiction,,Rejected,Eligible,0,0,3456198.0,,['Miguel Courtois'],6458,"[1209669.0, 2246529.0]","[20420, 26614]","['FR ', 'ES ']","['France', 'Spain']","[0.35, 0.65]","[2, 1]","['Minority', 'Majority']",40294,Operación E,Operación E,Miguel Courtois,2012,0.95,106742,tt1845846,6.4,627
